epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.223,1.5815,1.98705,1.59572,0.73737,0.58092,0.68282,0.2733,1.9117,1.7609,1.76781,0.000554845,0.000554845,0.000554845
2,579.512,1.52746,1.55216,1.54382,0.73553,0.71145,0.7499,0.30544,1.87631,1.34339,1.70007,0.00106654,0.00106654,0.00106654
3,855.814,1.49736,1.46088,1.52192,0.72145,0.64695,0.6759,0.37576,1.73165,1.86448,1.57563,0.00153422,0.00153422,0.00153422
4,1139.91,1.46171,1.37903,1.48982,0.76699,0.71641,0.78469,0.46022,1.54777,1.22592,1.43807,0.00146896,0.00146896,0.00146896
5,1422.76,1.40672,1.27789,1.45292,0.77977,0.75749,0.80593,0.47411,1.5944,1.11853,1.47301,0.00140295,0.00140295,0.00140295
6,1704.01,1.36524,1.20129,1.42702,0.83316,0.7923,0.84506,0.5398,1.50144,0.99546,1.40998,0.00133693,0.00133693,0.00133693
7,1987.43,1.33909,1.15702,1.40863,0.82542,0.7784,0.84514,0.53174,1.39963,1.02674,1.36359,0.00127092,0.00127092,0.00127092
8,2269.02,1.30826,1.10843,1.38349,0.77742,0.79539,0.8389,0.5323,1.41731,1.03934,1.35304,0.00120491,0.00120491,0.00120491
9,2554.96,1.28298,1.06247,1.36762,0.79363,0.79536,0.80879,0.52879,1.36765,1.05511,1.37675,0.00113889,0.00113889,0.00113889
10,2839.99,1.25564,1.02716,1.34452,0.79286,0.82758,0.82507,0.56103,1.32559,0.92576,1.32739,0.00107288,0.00107288,0.00107288
11,3126.54,1.23295,0.99432,1.33077,0.89387,0.76615,0.86657,0.57658,1.32401,0.91815,1.31014,0.00100687,0.00100687,0.00100687
12,3415.75,1.22257,0.97005,1.31975,0.8109,0.80445,0.85525,0.57636,1.34343,0.95844,1.33705,0.000940855,0.000940855,0.000940855
13,3691.72,1.19943,0.93965,1.30259,0.86039,0.74761,0.85298,0.57021,1.33133,0.91637,1.33687,0.000874842,0.000874842,0.000874842
14,3964.18,1.17886,0.91487,1.29134,0.82543,0.79233,0.84226,0.58208,1.32511,0.92758,1.3131,0.000808828,0.000808828,0.000808828
15,4229,1.15889,0.88941,1.27649,0.83,0.78372,0.84174,0.58341,1.29239,0.91627,1.29958,0.000742815,0.000742815,0.000742815
16,4453.85,0.98278,0.56509,1.16174,0.86889,0.78952,0.85223,0.57202,1.28531,0.92402,1.30352,0.000676802,0.000676802,0.000676802
17,4673.15,0.94434,0.5228,1.13604,0.83944,0.80684,0.86392,0.57553,1.30387,0.91781,1.30708,0.000610789,0.000610789,0.000610789
18,4890.18,0.91211,0.49842,1.11705,0.82202,0.8389,0.84093,0.56328,1.28932,0.8805,1.31398,0.000544776,0.000544776,0.000544776
19,5105.83,0.89228,0.47146,1.09965,0.8586,0.81792,0.86101,0.5844,1.31043,0.92791,1.31085,0.000478762,0.000478762,0.000478762
20,5324.65,0.86212,0.45391,1.08527,0.88397,0.78627,0.86301,0.57752,1.32271,0.94151,1.34477,0.000412749,0.000412749,0.000412749
21,5541.97,0.84497,0.43604,1.07239,0.89685,0.78472,0.85056,0.57199,1.31142,0.93212,1.35584,0.000346736,0.000346736,0.000346736
22,5765.57,0.82008,0.41522,1.05657,0.87225,0.79995,0.86507,0.59221,1.30136,0.91648,1.3421,0.000280723,0.000280723,0.000280723
23,5988.28,0.80314,0.40455,1.0438,0.88078,0.80079,0.8603,0.57188,1.30376,0.94643,1.34942,0.00021471,0.00021471,0.00021471
24,6209.95,0.78541,0.39283,1.03426,0.89068,0.79793,0.8571,0.57066,1.31104,0.95944,1.36032,0.000148696,0.000148696,0.000148696
25,6433.8,0.76782,0.3833,1.02716,0.86282,0.81604,0.86386,0.57578,1.31436,0.95068,1.35924,8.26832e-05,8.26832e-05,8.26832e-05
